exp_sig,fan_cre,plt_con,mul_plt,plt_spo,pk_sco,maj_gen,fi,ao,typ,multi,cre_lev,tra_rate,vio,lt_hol,maj_inc,avg_pv,core_inf
TRUE,TRUE,FALSE,TRUE,B,199,f,type4,A,A,TRUE,type5,41,TRUE,B,type1,8899,683
TRUE,TRUE,FALSE,TRUE,B,413,m,type1,A,B,TRUE,type5,25,FALSE,B,type2,6401,616
TRUE,FALSE,FALSE,TRUE,B,3343,f,type2,A,B,TRUE,type5,29,FALSE,B,type1,6469,703
TRUE,FALSE,FALSE,TRUE,B,464,f,type5,C,B,FALSE,type1,25,TRUE,C,type3,1022,512
TRUE,FALSE,FALSE,TRUE,C,30150,m,type6,A,A,TRUE,type4,33,FALSE,C,type3,8982,569
FALSE,TRUE,FALSE,TRUE,C,321,m,type6,A,B,TRUE,type5,33,FALSE,B,type1,7386,696
FALSE,FALSE,FALSE,TRUE,B,30250,m,type3,A,A,TRUE,type2,37,FALSE,B,type3,9528,575
TRUE,FALSE,FALSE,TRUE,B,187,m,type2,B,B,TRUE,type3,25,FALSE,C,type2,9766,624
TRUE,FALSE,FALSE,TRUE,A,30380,m,type1,A,B,FALSE,type2,33,FALSE,A,type4,2183,428
TRUE,FALSE,FALSE,TRUE,C,18213,f,type4,A,B,TRUE,type1,25,TRUE,B,type3,7163,599
TRUE,FALSE,FALSE,TRUE,C,46,m,type6,A,B,TRUE,type3,25,FALSE,B,type4,156,503
TRUE,TRUE,FALSE,TRUE,A,349,f,type6,A,B,TRUE,type5,33,FALSE,C,type3,4481,571
TRUE,FALSE,FALSE,TRUE,C,7062,m,type6,A,B,FALSE,type5,29,FALSE,C,type3,2900,565
TRUE,TRUE,FALSE,TRUE,C,388,m,type3,A,B,TRUE,type3,33,FALSE,C,type4,9054,493
TRUE,FALSE,FALSE,TRUE,B,111,m,type6,A,B,FALSE,type4,29,FALSE,A,type1,6860,702
TRUE,TRUE,FALSE,TRUE,C,13,m,type5,B,B,TRUE,type5,33,FALSE,B,type4,2771,471
TRUE,FALSE,FALSE,TRUE,A,365,m,type3,A,A,TRUE,type5,20,FALSE,B,type2,5831,674
TRUE,TRUE,FALSE,TRUE,C,5321,m,type6,A,B,TRUE,type5,33,FALSE,C,type3,101,558
TRUE,TRUE,FALSE,TRUE,A,30290,m,type3,A,B,FALSE,type1,29,FALSE,A,type1,6622,896
TRUE,TRUE,FALSE,TRUE,C,188,m,type3,A,B,TRUE,type4,29,FALSE,C,type1,5373,723
TRUE,FALSE,FALSE,TRUE,C,277,m,type6,A,B,TRUE,type4,33,FALSE,A,type4,1747,442
TRUE,TRUE,FALSE,TRUE,B,429,m,type6,A,B,TRUE,type5,33,FALSE,A,type4,4684,459
TRUE,FALSE,FALSE,TRUE,B,30,m,type2,B,B,TRUE,type3,20,FALSE,C,type4,2270,482
TRUE,TRUE,FALSE,TRUE,C,471,m,type6,A,B,TRUE,type3,29,TRUE,B,type4,5425,399
TRUE,TRUE,FALSE,TRUE,C,352,m,type3,A,B,TRUE,type4,29,FALSE,A,type4,4207,492
TRUE,FALSE,FALSE,TRUE,B,20219,m,type1,A,B,FALSE,type4,33,FALSE,B,type3,5164,575
TRUE,TRUE,FALSE,TRUE,B,149,m,type6,A,B,TRUE,type4,29,TRUE,B,type4,9341,489
TRUE,FALSE,FALSE,TRUE,B,98,m,type1,A,B,TRUE,type4,33,FALSE,C,type4,792,401
TRUE,TRUE,FALSE,TRUE,B,8492,m,type5,A,C,TRUE,type3,33,FALSE,B,type4,5613,504
FALSE,FALSE,FALSE,TRUE,A,30325,f,type3,A,B,TRUE,type1,33,FALSE,A,type4,5847,502
TRUE,TRUE,FALSE,TRUE,C,172,m,type3,A,B,TRUE,type4,33,FALSE,B,type4,2129,479
TRUE,TRUE,FALSE,TRUE,C,321,f,type5,A,B,FALSE,type3,12,FALSE,B,type3,4521,568
TRUE,FALSE,FALSE,TRUE,C,33,f,type1,A,B,TRUE,type4,29,FALSE,C,type3,8335,509
TRUE,TRUE,FALSE,TRUE,A,30184,f,type1,C,C,TRUE,type2,12,TRUE,C,type1,1069,1174
TRUE,TRUE,FALSE,TRUE,B,6048,m,type2,A,B,FALSE,type1,41,TRUE,C,type4,1116,494
TRUE,TRUE,FALSE,TRUE,C,256,m,type6,A,B,TRUE,type4,29,TRUE,C,type1,8959,920
TRUE,TRUE,FALSE,TRUE,A,273,m,type1,A,B,TRUE,type4,33,FALSE,A,type3,551,551
TRUE,TRUE,FALSE,TRUE,C,310,f,type6,A,A,TRUE,type1,33,FALSE,A,type3,5543,610
TRUE,TRUE,FALSE,TRUE,C,403,m,type6,B,A,TRUE,type5,33,FALSE,B,type3,5541,547
TRUE,TRUE,FALSE,TRUE,C,10158,m,type5,B,B,TRUE,type1,33,TRUE,A,type3,1225,568
TRUE,TRUE,FALSE,TRUE,B,3348,f,type6,A,B,TRUE,type4,33,FALSE,C,type3,8086,535
TRUE,TRUE,FALSE,TRUE,C,11,m,type1,A,A,TRUE,type5,29,FALSE,B,type1,6742,698
TRUE,TRUE,FALSE,TRUE,B,2072,m,type2,A,B,TRUE,type5,33,FALSE,B,type3,2202,538
TRUE,TRUE,FALSE,TRUE,C,120,m,type6,A,B,TRUE,type5,37,FALSE,B,type1,138,705
TRUE,TRUE,FALSE,TRUE,C,269,m,type6,B,A,FALSE,type3,41,FALSE,B,type1,6213,787
TRUE,TRUE,FALSE,TRUE,C,400,m,type1,A,B,FALSE,type4,29,FALSE,C,type3,4024,529
TRUE,FALSE,FALSE,TRUE,C,429,f,type1,A,B,TRUE,type1,33,FALSE,C,type3,8781,521
TRUE,TRUE,FALSE,TRUE,C,30157,m,type6,A,B,FALSE,type2,25,FALSE,A,type4,4835,435
TRUE,FALSE,FALSE,TRUE,C,69,m,type6,A,A,TRUE,type5,25,FALSE,A,type3,1284,581
TRUE,TRUE,FALSE,TRUE,A,30104,m,type6,B,A,FALSE,type2,33,FALSE,C,type1,1993,796
TRUE,FALSE,FALSE,TRUE,B,208,m,type5,B,B,TRUE,type4,37,FALSE,B,type4,9945,449
TRUE,FALSE,FALSE,TRUE,C,130,f,type6,A,B,TRUE,type4,37,FALSE,A,type4,1951,476
TRUE,TRUE,FALSE,TRUE,C,430,m,type5,A,B,TRUE,type5,33,FALSE,A,type5,8132,359
TRUE,TRUE,FALSE,TRUE,A,3031,m,type5,B,A,FALSE,type2,29,FALSE,B,type1,7303,799
TRUE,FALSE,FALSE,TRUE,B,5428,f,type6,A,A,TRUE,type1,25,FALSE,B,type4,9413,487
FALSE,TRUE,FALSE,TRUE,A,2362,m,type3,A,A,FALSE,type1,16,FALSE,B,type1,6157,678
TRUE,TRUE,FALSE,TRUE,C,18,m,type2,B,B,TRUE,type5,25,FALSE,C,type3,1592,585
FALSE,TRUE,FALSE,TRUE,C,2357,m,type2,A,A,TRUE,type4,33,FALSE,A,type3,6981,507
TRUE,TRUE,FALSE,TRUE,A,25389,m,type2,A,B,FALSE,type1,16,TRUE,B,type3,9026,579
FALSE,FALSE,FALSE,TRUE,C,178,m,type3,A,B,FALSE,type2,29,FALSE,C,type1,7659,756
TRUE,FALSE,FALSE,TRUE,B,1431,f,type2,A,B,TRUE,type3,29,FALSE,A,type3,3909,535
TRUE,FALSE,FALSE,TRUE,C,252,f,type3,A,B,TRUE,type1,20,FALSE,A,type1,743,743
TRUE,TRUE,FALSE,TRUE,B,186,m,type5,B,A,TRUE,type5,33,FALSE,B,type3,2030,537
TRUE,FALSE,FALSE,TRUE,A,495,m,type3,A,B,TRUE,type5,37,FALSE,A,type4,9195,474
TRUE,TRUE,FALSE,TRUE,A,15429,f,type4,B,A,FALSE,type5,16,FALSE,C,type1,3202,907
TRUE,FALSE,FALSE,TRUE,C,216,m,type3,A,B,TRUE,type4,33,FALSE,B,type4,4789,457
TRUE,FALSE,FALSE,TRUE,B,4436,m,type1,A,A,TRUE,type5,25,FALSE,B,type3,1756,552
TRUE,TRUE,FALSE,TRUE,A,16036,f,type4,B,A,FALSE,type5,33,FALSE,C,type1,6798,677
FALSE,TRUE,FALSE,TRUE,C,411,f,type6,A,B,TRUE,type5,25,FALSE,A,type4,626,492
FALSE,FALSE,FALSE,TRUE,A,398,m,type3,C,B,TRUE,type4,20,TRUE,A,type3,9389,603
FALSE,TRUE,TRUE,TRUE,A,20021,f,type1,B,B,FALSE,type1,29,TRUE,B,type2,1892,639
TRUE,FALSE,FALSE,TRUE,B,234,f,type1,B,B,TRUE,type5,33,TRUE,B,type1,4009,683
TRUE,TRUE,FALSE,TRUE,A,6027,m,type3,A,B,FALSE,type2,29,FALSE,A,type3,3108,564
TRUE,FALSE,FALSE,TRUE,C,148,f,type4,A,B,TRUE,type5,25,FALSE,C,type2,403,620
TRUE,FALSE,FALSE,TRUE,B,255,m,type5,A,B,TRUE,type5,29,FALSE,B,type3,3151,566
TRUE,TRUE,FALSE,TRUE,C,77,m,type2,B,B,TRUE,type3,37,FALSE,B,type4,3071,472
FALSE,FALSE,FALSE,TRUE,B,368,f,type6,A,B,TRUE,type5,33,TRUE,A,type2,7641,660
FALSE,TRUE,FALSE,TRUE,C,28,m,type3,A,A,TRUE,type5,29,FALSE,A,type4,9949,475
TRUE,TRUE,FALSE,TRUE,B,180,f,type6,A,B,TRUE,type3,33,FALSE,C,type2,6411,630
TRUE,TRUE,FALSE,TRUE,C,78,m,type1,A,B,TRUE,type4,29,FALSE,A,type4,7365,479
TRUE,TRUE,FALSE,TRUE,C,10296,m,type6,A,B,TRUE,type1,33,FALSE,C,type2,7059,671
TRUE,FALSE,FALSE,TRUE,C,357,f,type6,A,B,TRUE,type1,20,FALSE,C,type2,5415,640
TRUE,TRUE,FALSE,TRUE,B,14,m,type6,A,B,TRUE,type3,33,FALSE,B,type4,1692,408
TRUE,TRUE,FALSE,TRUE,A,29178,m,type2,A,A,FALSE,type2,29,FALSE,B,type1,6868,816
TRUE,TRUE,FALSE,TRUE,A,3261,m,type1,B,B,FALSE,type1,25,TRUE,C,type1,198,709
TRUE,TRUE,FALSE,TRUE,C,14390,f,type5,B,B,TRUE,type5,29,TRUE,B,type4,2725,447
TRUE,TRUE,FALSE,TRUE,C,231,f,type1,B,B,TRUE,type4,29,FALSE,B,type3,9999,577
TRUE,TRUE,FALSE,TRUE,C,475,f,type6,A,B,TRUE,type3,41,FALSE,A,type4,331,456
TRUE,TRUE,FALSE,TRUE,B,307,m,type1,C,B,TRUE,type5,25,FALSE,C,type5,4728,358
TRUE,TRUE,FALSE,TRUE,C,42,m,type3,B,B,FALSE,type4,41,FALSE,B,type1,6129,681
FALSE,TRUE,FALSE,TRUE,A,30016,m,type5,A,B,FALSE,type2,41,FALSE,A,type3,1401,531
TRUE,TRUE,FALSE,TRUE,B,470,m,type5,B,B,TRUE,type5,29,FALSE,C,type3,4292,540
TRUE,TRUE,FALSE,TRUE,A,181,m,type6,A,B,TRUE,type5,29,FALSE,C,type1,8453,693
FALSE,FALSE,FALSE,TRUE,A,3083,m,type6,A,A,FALSE,type1,33,TRUE,A,type3,6252,591
TRUE,FALSE,FALSE,TRUE,A,30424,f,type5,C,B,FALSE,type1,33,FALSE,A,type4,8572,478
TRUE,TRUE,FALSE,TRUE,B,409,m,type3,A,B,TRUE,type4,33,FALSE,B,type4,4715,486
TRUE,FALSE,FALSE,TRUE,B,2298,m,type6,B,B,TRUE,type5,33,TRUE,C,type2,4316,642
TRUE,TRUE,FALSE,TRUE,C,5137,m,type6,B,B,FALSE,type4,29,FALSE,B,type1,7370,704
TRUE,TRUE,FALSE,TRUE,C,2421,m,type3,A,B,TRUE,type1,25,TRUE,C,type1,7644,872
TRUE,FALSE,FALSE,TRUE,A,6007,f,type3,A,A,FALSE,type1,33,FALSE,B,type1,5665,860
TRUE,FALSE,FALSE,TRUE,A,5372,m,type3,A,A,TRUE,type5,25,FALSE,B,type3,123,548
TRUE,TRUE,FALSE,TRUE,B,277,m,type2,B,B,TRUE,type4,33,FALSE,B,type3,7146,591
TRUE,TRUE,FALSE,TRUE,C,191,m,type3,A,B,TRUE,type4,41,FALSE,B,type1,206,673
TRUE,TRUE,FALSE,TRUE,B,244,m,type4,A,B,TRUE,type4,29,FALSE,B,type4,4001,503
TRUE,FALSE,TRUE,TRUE,C,261,m,type6,B,B,FALSE,type5,33,FALSE,B,type1,8749,939
TRUE,FALSE,FALSE,TRUE,B,2047,f,type1,A,B,TRUE,type5,25,FALSE,A,type1,8933,676
TRUE,TRUE,FALSE,TRUE,B,250,m,type5,A,B,TRUE,type3,29,FALSE,B,type4,296,405
TRUE,FALSE,FALSE,TRUE,C,359,m,type3,A,B,FALSE,type5,20,FALSE,B,type1,1414,699
TRUE,TRUE,FALSE,TRUE,C,34,m,type3,A,B,TRUE,type5,29,FALSE,C,type3,9705,522
FALSE,TRUE,FALSE,TRUE,A,5011,m,type3,A,A,TRUE,type1,33,FALSE,C,type3,7373,528
TRUE,TRUE,FALSE,TRUE,C,230,f,type6,A,B,FALSE,type3,33,FALSE,A,type3,1709,517
FALSE,FALSE,FALSE,TRUE,B,52,f,type3,A,B,TRUE,type5,33,FALSE,C,type1,7030,713
FALSE,FALSE,FALSE,TRUE,A,7086,f,type5,A,B,FALSE,type1,33,TRUE,A,type3,399,529
TRUE,FALSE,FALSE,TRUE,C,5170,m,type5,A,B,FALSE,type5,29,FALSE,B,type4,3333,436
TRUE,TRUE,TRUE,TRUE,C,210,f,type1,A,A,FALSE,type4,25,FALSE,C,type3,8610,558
TRUE,TRUE,FALSE,TRUE,B,5032,m,type5,A,C,FALSE,type1,25,FALSE,B,type3,5696,516
TRUE,FALSE,FALSE,TRUE,A,30425,m,type1,A,B,FALSE,type5,33,FALSE,C,type3,270,605
TRUE,FALSE,FALSE,TRUE,C,459,m,type3,A,B,TRUE,type4,29,FALSE,B,type4,1803,405
TRUE,TRUE,FALSE,TRUE,C,270,m,type5,A,B,FALSE,type4,37,TRUE,C,type3,8239,601
TRUE,FALSE,FALSE,TRUE,C,294,f,type6,A,B,TRUE,type4,25,TRUE,B,type3,3981,539
TRUE,TRUE,FALSE,TRUE,C,10320,m,type1,A,B,TRUE,type4,25,TRUE,C,type3,625,580
TRUE,TRUE,FALSE,TRUE,B,479,m,type1,A,B,TRUE,type4,33,FALSE,B,type4,1130,432
TRUE,TRUE,FALSE,TRUE,B,352,m,type5,A,B,FALSE,type1,29,FALSE,C,type4,771,424
TRUE,FALSE,FALSE,TRUE,A,15032,m,type5,A,A,FALSE,type5,41,FALSE,C,type2,7289,613
TRUE,TRUE,FALSE,TRUE,C,376,m,type5,A,B,TRUE,type3,33,TRUE,C,type4,4731,480
TRUE,TRUE,FALSE,TRUE,A,374,m,type3,A,B,TRUE,type4,33,FALSE,B,type4,9078,462
TRUE,TRUE,FALSE,TRUE,C,401,m,type5,A,B,TRUE,type4,41,FALSE,C,type3,8125,537
TRUE,TRUE,FALSE,TRUE,B,273,m,type3,A,B,TRUE,type5,33,FALSE,A,type3,3312,546
TRUE,TRUE,FALSE,TRUE,B,1147,m,type6,A,B,TRUE,type4,33,FALSE,A,type2,9642,649
TRUE,FALSE,TRUE,TRUE,C,365,f,type6,A,B,TRUE,type4,16,FALSE,C,type4,4540,447
TRUE,TRUE,FALSE,TRUE,C,437,f,type2,A,B,TRUE,type5,29,FALSE,C,type3,2893,573
TRUE,TRUE,FALSE,TRUE,A,273,m,type1,B,A,TRUE,type5,33,FALSE,B,type3,5383,505
FALSE,TRUE,FALSE,TRUE,B,98,m,type6,B,A,TRUE,type5,33,FALSE,B,type3,9191,561
TRUE,FALSE,FALSE,TRUE,B,436,m,type1,B,B,TRUE,type4,29,FALSE,C,type4,1859,502
TRUE,FALSE,FALSE,TRUE,C,20028,m,type6,B,B,TRUE,type1,50,FALSE,C,type1,2978,706
TRUE,FALSE,TRUE,TRUE,C,7365,m,type5,A,B,TRUE,type4,33,FALSE,A,type4,1155,433
TRUE,FALSE,FALSE,TRUE,C,1243,m,type1,B,B,TRUE,type4,25,FALSE,B,type3,198,597
TRUE,TRUE,FALSE,TRUE,A,10192,m,type5,A,B,FALSE,type4,33,FALSE,C,type2,289,632
TRUE,FALSE,FALSE,TRUE,B,205,f,type2,A,C,TRUE,type1,33,FALSE,A,type3,6424,599
TRUE,TRUE,FALSE,TRUE,C,391,m,type2,B,B,TRUE,type5,29,FALSE,C,type3,6583,549
TRUE,TRUE,FALSE,TRUE,C,79,m,type3,A,B,TRUE,type4,25,FALSE,A,type3,1468,558
TRUE,FALSE,FALSE,TRUE,B,350,m,type4,A,A,FALSE,type5,33,FALSE,C,type3,8726,580
TRUE,FALSE,FALSE,TRUE,B,2477,f,type6,A,B,FALSE,type5,41,TRUE,B,type2,4066,613
FALSE,TRUE,FALSE,TRUE,A,2110,m,type1,A,A,TRUE,type5,37,FALSE,C,type1,1784,749
TRUE,TRUE,FALSE,TRUE,A,27313,f,type1,A,B,TRUE,type2,20,FALSE,B,type3,7374,513
FALSE,FALSE,FALSE,TRUE,A,10367,f,type1,A,B,TRUE,type1,29,FALSE,C,type3,366,577
TRUE,FALSE,FALSE,TRUE,A,14195,m,type3,B,B,TRUE,type5,33,FALSE,C,type1,4535,672
TRUE,FALSE,FALSE,TRUE,A,20268,f,type6,A,B,FALSE,type1,20,TRUE,C,type3,4272,522
TRUE,TRUE,FALSE,TRUE,B,331,m,type5,A,B,TRUE,type3,25,FALSE,A,type4,5964,512
FALSE,FALSE,FALSE,TRUE,C,479,m,type6,A,B,FALSE,type5,37,FALSE,B,type1,3966,708
TRUE,TRUE,FALSE,TRUE,A,7104,m,type5,B,B,FALSE,type1,25,FALSE,B,type4,691,428
TRUE,TRUE,FALSE,TRUE,C,61,f,type6,C,C,TRUE,type5,29,FALSE,A,type2,9992,652
TRUE,TRUE,FALSE,TRUE,B,2402,m,type2,A,B,TRUE,type5,29,FALSE,A,type4,3775,433
TRUE,TRUE,FALSE,TRUE,C,129,m,type6,A,B,TRUE,type3,29,FALSE,C,type4,7851,503
TRUE,TRUE,FALSE,TRUE,C,434,f,type3,B,B,FALSE,type5,29,FALSE,B,type4,3509,468
TRUE,TRUE,FALSE,TRUE,C,369,m,type3,A,B,TRUE,type4,33,FALSE,B,type3,1246,557
TRUE,TRUE,FALSE,TRUE,A,2112,m,type4,B,A,FALSE,type5,33,FALSE,B,type1,6075,873
TRUE,TRUE,FALSE,TRUE,A,20406,m,type2,B,B,FALSE,type2,29,FALSE,B,type1,29,1004
TRUE,FALSE,FALSE,TRUE,C,1116,f,type3,A,B,TRUE,type5,41,FALSE,C,type4,9733,500
TRUE,TRUE,FALSE,TRUE,C,10094,f,type4,B,A,FALSE,type5,20,FALSE,B,type1,9823,828
TRUE,TRUE,FALSE,TRUE,B,473,m,type3,B,B,TRUE,type5,20,TRUE,B,type1,2810,697
TRUE,TRUE,FALSE,TRUE,B,7151,m,type1,B,B,FALSE,type5,33,FALSE,B,type4,8720,483
FALSE,TRUE,FALSE,TRUE,A,356,m,type5,A,B,TRUE,type5,33,FALSE,C,type3,6265,534
TRUE,TRUE,FALSE,TRUE,A,133,f,type6,B,A,TRUE,type1,8,FALSE,C,type1,5805,872
